Idioma,Esquema,F1,Precision,Recall
nl,BIO,0.7718608764000785,0.7941771128184392,0.7507645259938838
nl,IO,0.7578653922739944,0.7850660066006601,0.7324865280985373
nl,BIOW,0.7677939441604404,0.7904858299595142,0.746368501529052
nl,BIOE,0.766908449323662,0.787122736418511,0.7477064220183486
nl,BIOEW,0.7695028492827668,0.7917509098261222,0.7484709480122325
nl,BIOW+,0.7624015748031496,0.7859172077922078,0.7402522935779816
